"Description" "data" "N_anul_lotow"
"Eastern Air Lines Inc." 1987-10-28 34
"Eastern Air Lines Inc." 1987-10-04 17
"Eastern Air Lines Inc." 1987-10-25 21
"Eastern Air Lines Inc." 1987-10-31 38
"Eastern Air Lines Inc." 1987-10-17 25
"Eastern Air Lines Inc." 1987-10-19 27
"Eastern Air Lines Inc." 1987-10-29 33
"Eastern Air Lines Inc." 1987-10-12 79
"Eastern Air Lines Inc." 1987-10-13 9
"Eastern Air Lines Inc." 1987-10-22 29
"Eastern Air Lines Inc." 1987-10-14 24
"Eastern Air Lines Inc." 1987-10-18 20
"Eastern Air Lines Inc." 1987-10-21 32
"Eastern Air Lines Inc." 1987-10-27 25
"Eastern Air Lines Inc." 1987-10-01 12
"Eastern Air Lines Inc." 1987-10-23 20
"Eastern Air Lines Inc." 1987-10-20 37
"Eastern Air Lines Inc." 1987-10-24 20
"Eastern Air Lines Inc." 1987-10-07 3
"Eastern Air Lines Inc." 1987-10-03 11
"Eastern Air Lines Inc." 1987-10-11 6
"Eastern Air Lines Inc." 1987-10-15 13
"Eastern Air Lines Inc." 1987-10-08 9
"Eastern Air Lines Inc." 1987-10-09 12
"Eastern Air Lines Inc." 1987-10-10 11
"Eastern Air Lines Inc." 1987-10-16 15
"Eastern Air Lines Inc." 1987-10-06 9
"Eastern Air Lines Inc." 1987-11-11 105
"Eastern Air Lines Inc." 1987-11-12 108
"Eastern Air Lines Inc." 1987-11-17 37
"Eastern Air Lines Inc." 1987-11-23 19
"Eastern Air Lines Inc." 1987-11-29 28
"Eastern Air Lines Inc." 1987-11-13 24
"Eastern Air Lines Inc." 1987-11-30 29
"Eastern Air Lines Inc." 1987-11-16 36
"Eastern Air Lines Inc." 1987-11-01 15
"Eastern Air Lines Inc." 1987-11-24 22
"Eastern Air Lines Inc." 1987-11-21 23
"Eastern Air Lines Inc." 1987-11-03 13
"Eastern Air Lines Inc." 1987-11-14 15
"Eastern Air Lines Inc." 1987-11-20 22
"Eastern Air Lines Inc." 1987-11-22 34
"Eastern Air Lines Inc." 1987-11-27 15
"Eastern Air Lines Inc." 1987-11-02 17
"Eastern Air Lines Inc." 1987-11-15 27
"Eastern Air Lines Inc." 1987-11-05 15
"Eastern Air Lines Inc." 1987-11-19 25
"Eastern Air Lines Inc." 1987-11-08 19
"Eastern Air Lines Inc." 1987-11-04 12
"Eastern Air Lines Inc." 1987-11-25 23
"Eastern Air Lines Inc." 1987-11-09 12
"Eastern Air Lines Inc." 1987-11-10 23
"Eastern Air Lines Inc." 1987-11-26 16
"Eastern Air Lines Inc." 1987-11-18 21
