"Description" "polaczenie" "Distance" "ilosc_lotow"
"American Airlines Inc." "Windsor Locks(CT) - Chicago(IL)" 783 36173
"American Airlines Inc." "Chicago(IL) - Newark(NJ)" 719 60683
"American Airlines Inc." "San Antonio(TX) - Chicago(IL)" 1041 26275
"American Airlines Inc." "Jackson(MS) - Dallas-Fort Worth(TX)" 408 4670
"American Airlines Inc." "Mobile(AL) - Jackson(MS)" 156 2621
"American Airlines Inc." "Nashville(TN) - Jackson(MS)" 327 5791
"American Airlines Inc." "Baltimore(MD) - Nashville(TN)" 588 7700
"American Airlines Inc." "Dallas-Fort Worth(TX) - Tampa(FL)" 929 44370
"American Airlines Inc." "Tampa(FL) - Ft. Myers(FL)" 110 78
"American Airlines Inc." "Chicago(IL) - Indianapolis(IN)" 177 16573
"American Airlines Inc." "Denver(CO) - Chicago(IL)" 888 44763
"American Airlines Inc." "Chicago(IL) - Buffalo(NY)" 473 26311
"American Airlines Inc." "Nashville(TN) - Huntsville(AL)" 102 7876
"American Airlines Inc." "Indianapolis(IN) - Chicago(IL)" 177 17259
"American Airlines Inc." "Atlanta(GA) - Chicago(IL)" 606 39136
"American Airlines Inc." "Greer(SC) - Atlanta(GA)" 153 2097
"American Airlines Inc." "Albuquerque(NM) - Dallas-Fort Worth(TX)" 569 47220
"American Airlines Inc." "Dallas-Fort Worth(TX) - Midland(TX)" 309 7616
"American Airlines Inc." "Harlingen(TX) - Dallas-Fort Worth(TX)" 461 12593
"American Airlines Inc." "Chicago(IL) - Milwaukee(WI)" 67 12253
"American Airlines Inc." "Dallas-Fort Worth(TX) - Long Beach(CA)" 1220 20693
"American Airlines Inc." "Tulsa(OK) - Dallas-Fort Worth(TX)" 237 45143
"American Airlines Inc." "Sacramento(CA) - Chicago(IL)" 1781 6212
"American Airlines Inc." "Wichita(KS) - Dallas-Fort Worth(TX)" 328 26509
"American Airlines Inc." "Dallas-Fort Worth(TX) - San Diego(CA)" 1171 61886
"American Airlines Inc." "Dallas-Fort Worth(TX) - Kansas City(MO)" 460 66917
"American Airlines Inc." "Santa Ana(CA) - Dallas-Fort Worth(TX)" 1205 55227
"American Airlines Inc." "Dallas-Fort Worth(TX) - Ontario(CA)" 1189 38081
"American Airlines Inc." "Las Vegas(NV) - Dallas-Fort Worth(TX)" 1055 56974
"American Airlines Inc." "Los Angeles(CA) - Las Vegas(NV)" 236 11817
"American Airlines Inc." "Chicago(IL) - Pittsburgh(PA)" 412 10522
